HGNC_symbol	ENSTranscript
ABLIM2	ENST00000447017
KARS	ENST00000319410
COL4A3BP	ENST00000380494
PCBP3	ENST00000400308
LTBP3	ENST00000301873
YAP1	ENST00000282441
PSG8	ENST00000404209
MYB	ENST00000341911
PRR20B	ENST00000377930
PRR20C	ENST00000544357
PRR20D	ENST00000452123
PRR20E	ENST00000434815
SCNN1D	ENST00000379116
SLC8A3	ENST00000216568
SPTAN1	ENST00000372739
C10orf131	ENST00000423344
C15orf62	ENST00000344320
LY6H	ENST00000414417
NDRG4	ENST00000394282
ERICH4	ENST00000378187
CSGALNACT1	ENST00000454498
ZNF195	ENST00000005082
CSDE1	ENST00000369530
C17orf96	ENST00000325814
EIF4E	ENST00000505992
HMGB2	ENST00000446922
PDE10A	ENST00000539869
TRPC3	ENST00000379645
IPCEF1	ENST00000422970
ADAM29	ENST00000445694
LSM5	ENST00000450169
CLEC2A	ENST00000455827
LEF1	ENST00000379951
AHCYL2	ENST00000325006
DNMT1	ENST00000359526
LDB2	ENST00000441778
RTCA	ENST00000260563
CDKN3	ENST00000442975
PWWP2A	ENST00000307063
SUGT1	ENST00000343788
ZNF720	ENST00000316491
LILRA2	ENST00000391738
C7orf73	ENST00000507606
PLCD1	ENST00000463876
CRISP1	ENST00000335847
PTPN12	ENST00000415482
SATB1	ENST00000454909
PEX5	ENST00000420616
ATG10	ENST00000458350
AFM	ENST00000226355
AFP	ENST00000395792
IRX2	ENST00000382611
INPP4A	ENST00000074304
C1orf204	ENST00000368102
AP3M2	ENST00000518421
PRR22	ENST00000419421
STRIP2	ENST00000435494
RNF24	ENST00000358395
RBM20	ENST00000369519
VAV2	ENST00000371850
SPOCK2	ENST00000412663
NOTO	ENST00000398468
GSE1	ENST00000405402
TOMM6	ENST00000398884
PRR23C	ENST00000413199
PRR23A	ENST00000383163
OST4	ENST00000456793
DEK	ENST00000244776
ARFRP1	ENST00000440854
SLC12A5	ENST00000454036
CCDC152	ENST00000361970
C14orf80	ENST00000392522
KIF9	ENST00000335044
RTL1	ENST00000534062
DNAJB5	ENST00000453597
MAPK9	ENST00000425491
SYK	ENST00000375751
LRRC15	ENST00000439944
TMPRSS2	ENST00000398585
CRELD2	ENST00000404488
DNAJA3	ENST00000355296
DPF1	ENST00000355526
C1QTNF7	ENST00000295297
NEDD1	ENST00000557644
C10orf71	ENST00000323868
TCOF1	ENST00000377797
EPB41L2	ENST00000392427
C12orf73	ENST00000378090
SMIM13	ENST00000416247
C19orf71	ENST00000329493
DCTN4	ENST00000446090
PTPRK	ENST00000368213
PABPC4	ENST00000372858
NRXN1	ENST00000404971
TARM1	ENST00000432826
PENK	ENST00000451791
SLC18A1	ENST00000440926
VDAC3	ENST00000392935
PIWIL2	ENST00000454009
TP53INP1	ENST00000448464
ZBTB43	ENST00000449886
PPIAL4C	ENST00000369222
NPIPB5	ENST00000424340
VWDE	ENST00000275358
ATXN3L	ENST00000380622
AGER	ENST00000375076
TMEM229A	ENST00000455783
C2CD4D	ENST00000454109
FCGRT	ENST00000221466
PLS3	ENST00000420625
SEC13	ENST00000383801
TRMT1	ENST00000357720
TMEM132C	ENST00000435159
COLCA2	ENST00000398035
BEAN1	ENST00000299694
METTL11B	ENST00000439373
R3HCC1	ENST00000265806
ZNF879	ENST00000444149
SLF2	ENST00000370269
CMPK1	ENST00000371873
ATF6B	ENST00000375203
HSBP1L1	ENST00000451882
TNPO2	ENST00000592287
POTEH	ENST00000343518
PRDM6	ENST00000407847
ATXN7L3B	ENST00000519948
C2CD4C	ENST00000332235
IFFO2	ENST00000455833
NKX2-6	ENST00000325017
ZFP92	ENST00000338647
C19orf38	ENST00000397820
C17orf105	ENST00000449302
C11orf86	ENST00000308963
TRIM64	ENST00000329862
MFSD2A	ENST00000372809
CISD3	ENST00000439660
ZNF841	ENST00000389534
ZNF844	ENST00000439326
SMIM24	ENST00000215531
TERB1	ENST00000433154
SLC22A24	ENST00000417740
MBD3L5	ENST00000329753
C1orf185	ENST00000371759
ZNF843	ENST00000315678
DCAF8L2	ENST00000451261
TMEM233	ENST00000426426
DTHD1	ENST00000357504
BTBD19	ENST00000450269
ACAD10	ENST00000455480
GPR107	ENST00000372406
HNRNPCL2	ENST00000317869
RAD21L1	ENST00000409241
FAM47E	ENST00000424749
ZAR1L	ENST00000345108
FAM25C	ENST00000342763
FAM25G	ENST00000457620
ANAPC5	ENST00000441917
TMEM151B	ENST00000451188
ZBTB42	ENST00000342537
ZNF732	ENST00000419098
FAM86B2	ENST00000262365
RGSL1	ENST00000294854
POTEC	ENST00000358970
ILF3	ENST00000407004
ZNF860	ENST00000360311
ATXN1L	ENST00000427980
AGRP	ENST00000290953
ALOX12B	ENST00000319144
BCAP31	ENST00000458587
TRAPPC3L	ENST00000368602
RASGRP3	ENST00000403687
ALOX15	ENST00000293761
FAM205A	ENST00000378788
C4orf48	ENST00000409860
DAXX	ENST00000374542
ARCN1	ENST00000392859
MGRN1	ENST00000415496
C5orf60	ENST00000448248
DUSP19	ENST00000342619
GNAL	ENST00000269162
CMKLR1	ENST00000412676
PTPN18	ENST00000347849
NEDD9	ENST00000504387
ATP1B4	ENST00000218008
ASB10	ENST00000422024
ECSIT	ENST00000252440
GPT2	ENST00000440783
FBXO5	ENST00000367241
DCHS2	ENST00000339452
PIK3R5	ENST00000447110
FBRSL1	ENST00000434748
NEMP2	ENST00000409150
SAR1A	ENST00000373242
NEURL1B	ENST00000369800
PTGES3L	ENST00000453594
DLG2	ENST00000376104
ASB14	ENST00000487349
KNSTRN	ENST00000416151
IL11RA	ENST00000441545
EYS	ENST00000503581
ACOXL	ENST00000439055
PIEZO1	ENST00000301015
TMOD2	ENST00000249700
MXD3	ENST00000427908
C11orf21	ENST00000456145
C22orf46	ENST00000402966
GREB1L	ENST00000424526
AMELY	ENST00000215479
SLC25A39	ENST00000377095
PHOSPHO1	ENST00000413580
ETS1	ENST00000392668
SLC38A4	ENST00000447411
HRH4	ENST00000426880
GRM5	ENST00000305447
LEUTX	ENST00000396841
IQCF6	ENST00000398780
PPIAL4A	ENST00000540273
RPEL1	ENST00000441178
C15orf61	ENST00000342683
EFCAB2	ENST00000447569
ADTRP	ENST00000229583
GPR63	ENST00000229955
C2orf74	ENST00000432605
CAPN8	ENST00000419193
ARL5C	ENST00000269586
ZCCHC18	ENST00000537356
NDE1	ENST00000396355
CCDC154	ENST00000389176
CHRDL1	ENST00000218054
BANF1	ENST00000312175
NBPF4	ENST00000415641
AMFR	ENST00000290649
AGAP5	ENST00000374094
RGPD3	ENST00000409886
STOML3	ENST00000423210
NTM	ENST00000374786
OSBPL5	ENST00000389989
UBAC2	ENST00000403766
PLCL2	ENST00000418129
DNAJC7	ENST00000426588
ZNF234	ENST00000592437
LIPT2	ENST00000310109
VSTM5	ENST00000409977
CFAP73	ENST00000335621
PATE4	ENST00000457514
BAIAP2	ENST00000321300
FNDC7	ENST00000370017
SDK2	ENST00000392650
C5orf47	ENST00000340147
RIIAD1	ENST00000479191
ANKUB1	ENST00000446160
MTHFD2L	ENST00000395759
CCDC169	ENST00000510088
ZNF814	ENST00000435989
NWD2	ENST00000309447
C2orf72	ENST00000373640
CCDC85C	ENST00000380243
ANG	ENST00000336811
GOLGA6L6	ENST00000427390
BTN3A1	ENST00000289361
SMCO2	ENST00000416383
C16orf96	ENST00000444310
RFPL4A	ENST00000434937
CCDC153	ENST00000415318
C6orf52	ENST00000259983
PLET1	ENST00000338832
PALM3	ENST00000340790
ANKRD30B	ENST00000358984
TOPAZ1	ENST00000309765
C11orf96	ENST00000528572
ZNF286B	ENST00000545289
TMEM247	ENST00000434431
EFCAB5	ENST00000536908
C2orf81	ENST00000290390
IQCF5	ENST00000446461
GATSL2	ENST00000426327
CCSER1	ENST00000509176
USP27X	ENST00000508866
LRRC10B	ENST00000378075
MEIOC	ENST00000409122
HHLA1	ENST00000414222
BTBD18	ENST00000422652
PATL2	ENST00000434130
MYADML2	ENST00000409745
PPP1R3G	ENST00000405617
GRID2IP	ENST00000457091
TCP10L2	ENST00000366832
CAPN14	ENST00000403897
EVPLL	ENST00000399134
AK9	ENST00000424296
C5orf52	ENST00000409999
SLC1A5	ENST00000412532
UBE2QL1	ENST00000399816
SHISA7	ENST00000376325
FAM200B	ENST00000422728
AKAIN1	ENST00000434239
SPATA31A6	ENST00000332857
C12orf75	ENST00000443585
SHISA9	ENST00000558583
KIAA1671	ENST00000358431
ANKRD65	ENST00000537107
GOLGA6D	ENST00000434739
SP9	ENST00000394967
FAM185A	ENST00000413034
TMC4	ENST00000376591
KIAA1683	ENST00000392413
CDK6	ENST00000424848
LRTOMT	ENST00000307198
ZBTB22	ENST00000418724
RBMXL3	ENST00000424776
C20orf173	ENST00000444723
ABHD11	ENST00000395147
PTPN3	ENST00000374541
OTUD1	ENST00000376495
FAM71E2	ENST00000424985
ZNF506	ENST00000450683
SETDB1	ENST00000271640
TTC28	ENST00000397906
NR1D2	ENST00000312521
SMIM20	ENST00000506197
ZNF880	ENST00000422689
PGAP2	ENST00000300730
TYW1B	ENST00000435769
POTEM	ENST00000551509
ZNF200	ENST00000396871
MORN2	ENST00000340556
ARHGEF33	ENST00000398800
NCR1	ENST00000447255
HOPX	ENST00000381255
NANOGNB	ENST00000382119
TEX38	ENST00000334122
FAM186A	ENST00000327337
AFMID	ENST00000409257
C7orf71	ENST00000409974
C17orf107	ENST00000381365
C1orf228	ENST00000535358
SRRM5	ENST00000417606
PHGR1	ENST00000448599
C6orf141	ENST00000529246
CTAGE9	ENST00000314099
RFX8	ENST00000428343
CTXN2	ENST00000417307
FAM228B	ENST00000407625
NUPR2	ENST00000329309
KPNA7	ENST00000327442
PNPLA1	ENST00000394571
CT47B1	ENST00000371311
ZBTB8B	ENST00000609129
HOMER3	ENST00000433218
ADGRG1	ENST00000568908
BORCS8	ENST00000477565
MEF2B	ENST00000424583
SH2B1	ENST00000359285
IRGM	ENST00000522154
TANC1	ENST00000263635
SLCO1C1	ENST00000545102
SLC13A2	ENST00000444914
ANGPT1	ENST00000517746
KRTAP4-9	ENST00000391415
PTGR1	ENST00000407693
PTGR2	ENST00000555228
FAM25A	ENST00000343959
TRIM77	ENST00000398290
HNRNPCL3	ENST00000317869
KRTAP16-1	ENST00000391352
PEG3	ENST00000423103
CCDC168	ENST00000322527
WRB	ENST00000380708
MANSC4	ENST00000381273
SYT14	ENST00000422431
MYOCD	ENST00000425538
ZIM2	ENST00000391708
NACAD	ENST00000490531
TMEM114	ENST00000568335
VSTM2B	ENST00000335523
NKX1-2	ENST00000451024
ANKRD34C	ENST00000421388
PRAMEF11	ENST00000535591
TMEM253	ENST00000418511
RNF222	ENST00000399398
TMEM88B	ENST00000378821
GMNC	ENST00000442080
ANGPT2	ENST00000415216
ANK2	ENST00000357077
ANPEP	ENST00000300060
SLC25A4	ENST00000281456
SLC25A5	ENST00000317881
ANXA4	ENST00000394295
ANXA5	ENST00000296511
ANXA6	ENST00000354546
ANXA7	ENST00000372921
ANXA11	ENST00000265447
AOX1	ENST00000374700
ZNF716	ENST00000420713
ZNF737	ENST00000427401
ZNF727	ENST00000550760
ZNF735	ENST00000421025
ZNF735	ENST00000255746
POU5F1B	ENST00000391675
BEX5	ENST00000543160
BIVM	ENST00000448849
SYNCRIP	ENST00000355238
SLC39A11	ENST00000542342
EBNA1BP2	ENST00000431635
RHOBTB2	ENST00000519685
LPO	ENST00000421678
DDHD1	ENST00000395606
RNF170	ENST00000534961
ATP1A1	ENST00000537345
OR6P1	ENST00000334632
NUDT2	ENST00000379158
PLEKHA4	ENST00000355496
NDFIP2	ENST00000218652
GPR17	ENST00000544369
PTPRH	ENST00000263434
PLEKHD1	ENST00000322564
KLHL2	ENST00000538127
LRRD1	ENST00000430130
PROB1	ENST00000434752
MAFF	ENST00000538320
KDM4E	ENST00000450979
C7orf72	ENST00000297001
CLK1	ENST00000434813
PDCD6IP	ENST00000457054
ANKRD66	ENST00000565422
ARL13A	ENST00000450049
CAND2	ENST00000456430
CCDC166	ENST00000542437
SMIM9	ENST00000369529
SMIM5	ENST00000375215
SMIM6	ENST00000579469
APBA1	ENST00000265381
C17orf99	ENST00000340363
PLXNB3	ENST00000538966
EWSR1	ENST00000397938
FBXL17	ENST00000542267
RAB2B	ENST00000397762
TBCK	ENST00000394708
SMIM10	ENST00000330288
DCAF11	ENST00000559115
FBXO24	ENST00000468962
SHOX2	ENST00000425436
UBAP1L	ENST00000502113
SMIM1	ENST00000444870
PTBP3	ENST00000374257
WDR81	ENST00000409644
VSIG10L	ENST00000335624
APBB1	ENST00000609360
COPS7A	ENST00000534947
CHAMP1	ENST00000361283
GPR75-ASB3	ENST00000352846
PPIAL4D	ENST00000544708
SLC37A4	ENST00000545985
ANKRD36	ENST00000420699
C10orf105	ENST00000441508
MRGPRG	ENST00000332314
FAM180B	ENST00000538490
STAU2	ENST00000524300
TRIM64B	ENST00000329862
CCDC175	ENST00000537690
GOLGA6C	ENST00000300576
BHLHA9	ENST00000391429
TLCD2	ENST00000330676
CDK5	ENST00000297518
HSFX2	ENST00000524178
H2BFM	ENST00000355016
SSX2B	ENST00000375515
MBD3L4	ENST00000381394
MBD3L3	ENST00000333843
ARHGAP40	ENST00000373345
KRTAP22-2	ENST00000382830
KRTAP21-3	ENST00000444335
TMEM212	ENST00000334567
ANKRD33B	ENST00000296657
FAM159B	ENST00000389074
ANKRD31	ENST00000274361
CBY3	ENST00000376974
C6orf132	ENST00000341865
ZNF705G	ENST00000400078
ACTR3C	ENST00000539352
STEAP1B	ENST00000404369
MUC12	ENST00000536621
RGPD8	ENST00000302558
TRIM43B	ENST00000272395
GOLGA6L10	ENST00000439287
TMED7-TICAM2	ENST00000408996
MS4A12	ENST00000537076
TSPY4	ENST00000426950
C5orf63	ENST00000296662
FAM170B	ENST00000311787
C16orf52	ENST00000542527
IGFN1	ENST00000335211
MAST4	ENST00000403625
KIAA1549	ENST00000440172
LTB4R2	ENST00000543919
PRKAR1B	ENST00000403562
BCAT2	ENST00000545387
PET117	ENST00000432901
BIRC3	ENST00000263464
TMEM41B	ENST00000533723
HERC6	ENST00000380265
KRTAP2-3	ENST00000391418
ATP5L2	ENST00000505920
STARD3	ENST00000336308
SCN1A	ENST00000423058
BIRC2	ENST00000227758
EME1	ENST00000393271
PPP1R9A	ENST00000433360
HAUS4	ENST00000541587
SPATA13	ENST00000382108
RGMA	ENST00000557301
SPDYE2B	ENST00000507450
SLC26A11	ENST00000361193
TPBG	ENST00000543496
EHHADH	ENST00000231887
WDR13	ENST00000218056
DEFB133	ENST00000398721
LST1	ENST00000376086
TTK	ENST00000369798
C11orf91	ENST00000379011
XIAP	ENST00000371199
XPNPEP1	ENST00000322238
RAB35	ENST00000229340
RHBDD1	ENST00000392062
TMEM239	ENST00000380585
FAM229A	ENST00000432622
TFEB	ENST00000358871
SBNO1	ENST00000420886
IL1RAP	ENST00000072516
BIRC5	ENST00000350051
C3orf80	ENST00000326474
FREM3	ENST00000329798
GAREM2	ENST00000401533
GALNT16	ENST00000337827
ZIC4	ENST00000525172
SAP25	ENST00000538735
AQP8	ENST00000219660
AQP7	ENST00000297988
PGAM5	ENST00000498926
PLB1	ENST00000422425
CHD8	ENST00000399982
NUTM2G	ENST00000372322
C1orf127	ENST00000377004
LCOR	ENST00000540664
SLC15A5	ENST00000344941
IFITM10	ENST00000340134
ZNF736	ENST00000355095
IGSF1	ENST00000370903
ABCC6	ENST00000205557
CLDN2	ENST00000541806
FAM3A	ENST00000359889
STRBP	ENST00000360998
PET100	ENST00000594797
EFCAB9	ENST00000398186
UBAP1	ENST00000545103
RIPPLY1	ENST00000411805
TRIQK	ENST00000518748
ARG2	ENST00000261783
GOLGA3	ENST00000545875
ZNF559-ZNF177	ENST00000541595
ZNF347	ENST00000452676
TSFM	ENST00000323833
SLC38A6	ENST00000354886
SP7	ENST00000536324
TMEM216	ENST00000334888
SPAM1	ENST00000460182
OSBPL10	ENST00000438237
ZBED6	ENST00000550078
C18orf63	ENST00000579455
ARHGDIB	ENST00000228945
ARHGDIG	ENST00000219409
ARL1	ENST00000261636
MSLN	ENST00000563941
ABHD16A	ENST00000440843
MICA	ENST00000449934
RIF1	ENST00000453091
PCSK1	ENST00000508626
VIT	ENST00000389975
ARNTL	ENST00000389707
SLC44A4	ENST00000375562
IGLL5	ENST00000526893
ART3	ENST00000349321
ALDH7A1	ENST00000409134
ATP6AP1	ENST00000369762
ATR	ENST00000350721
MEPE	ENST00000424957
SEZ6L	ENST00000404234
PSG1	ENST00000436291
PCDH19	ENST00000373034
NIPA2	ENST00000337451
FAM219A	ENST00000445726
AZGP1	ENST00000292401
NIT1	ENST00000368008
CLDN24	ENST00000541814
BAK1	ENST00000374467
NKX3-2	ENST00000382438
RNF224	ENST00000445101
DGCR8	ENST00000383024
LGALS16	ENST00000392051
MTRNR2L1	ENST00000540040
KRTAP9-1	ENST00000398470
MTRNR2L2	ENST00000604882
MTRNR2L3	ENST00000543500
MTRNR2L4	ENST00000399974
MTRNR2L5	ENST00000512524
ANKRD63	ENST00000434396
PCSK5	ENST00000545128
MTRNR2L6	ENST00000604952
MTRNR2L7	ENST00000544824
MTRNR2L8	ENST00000536684
MTRNR2L9	ENST00000544932
MTRNR2L10	ENST00000545075
IKBKB	ENST00000520835
TMEM238	ENST00000444469
KLRF2	ENST00000535540
STMND1	ENST00000536551
MCIDAS	ENST00000513312
CDRT15L2	ENST00000399044
PLK4	ENST00000513090
AGAP9	ENST00000456984
TMEM221	ENST00000341130
CNOT4	ENST00000541284
FAM193B	ENST00000514747
PIWIL1	ENST00000245255
C8orf88	ENST00000517562
YAF2	ENST00000380790
SLC6A13	ENST00000445055
CASP12	ENST00000422698
PRR29	ENST00000425164
PSMD1	ENST00000373635
ANHX	ENST00000419717
ERVV-2	ENST00000601417
PDE1C	ENST00000396182
TNFRSF17	ENST00000053243
SIRT6	ENST00000305232
SIRT2	ENST00000358931
APOBEC3A_B	ENST00000570508
IKBKE	ENST00000537984
SEC14L6	ENST00000402034
EXD2	ENST00000409014
UNKL	ENST00000389221
UNKL	ENST00000397464
DDX3X	ENST00000399959
KANSL1	ENST00000262419
SLC26A8	ENST00000355574
ALDH8A1	ENST00000367847
TCF24	ENST00000563496
SLC30A6	ENST00000379343
FBXL5	ENST00000341285
ZNF850	ENST00000591344
PINLYP	ENST00000599207
C19orf84	ENST00000574814
SMIM17	ENST00000598409
ZNF705B	ENST00000400120
HCN2	ENST00000251287
KCNJ18	ENST00000331718
KCNJ18	ENST00000563509
TRABD2B	ENST00000606738
MEPCE	ENST00000414441
MR1	ENST00000367579
BFSP1	ENST00000377873
PTPRU	ENST00000373779
C6orf99	ENST00000367072
C19orf81	ENST00000425202
TEX22	ENST00000451127
C16orf95	ENST00000567970
PRSS56	ENST00000449534
TMEM35B	ENST00000373337
ZNF783	ENST00000434415
TRIM49C	ENST00000448984
SMKR1	ENST00000462322
GFY	ENST00000576655
TGFBR3L	ENST00000565886
PDZD7	ENST00000619208
TMEM178B	ENST00000565468
MKRN2OS	ENST00000564146
LRRC72	ENST00000401542
GPR35	ENST00000403859
TPBGL	ENST00000562197
LRRC3C	ENST00000377924
PRR9	ENST00000368744
ARL14EPL	ENST00000601302
SMLR1	ENST00000541421
ZNF865	ENST00000568956
MLLT10	ENST00000377059
CCDC179	ENST00000532798
SLFN12L	ENST00000260908
BIK	ENST00000216115
KMT2A	ENST00000534358
IQCJ-SCHIP1	ENST00000485419
GPR33	ENST00000399285
BTN2A2	ENST00000416795
BTN3A2	ENST00000356386
ORC3	ENST00000546266
OR11H2	ENST00000550708
ARNT	ENST00000358595
PRDM1	ENST00000369096
ADCY4	ENST00000310677
JMJD7-PLA2G4B	ENST00000342159
STON1-GTF2A1L	ENST00000402114
RUNX1T1	ENST00000523629
LY75-CD302	ENST00000504764
C15orf65	ENST00000569691
ARPC4-TTLL3	ENST00000397256
ASCC1	ENST00000317168
MSANTD3-TMEFF1	ENST00000502978
MUC22	ENST00000561890
LIPF	ENST00000608620
HLA-DQB2	ENST00000411527
CAPN1	ENST00000533820
ATP5J2-PTCD1	ENST00000555673
CCDC169-SOHLH2	ENST00000511166
RNF103-CHMP3	ENST00000439940
KIAA1522	ENST00000373480
TMEM110-MUSTN1	ENST00000504329
EPPIN-WFDC6	ENST00000504988
C15orf38-AP3S2	ENST00000398333
BAIAP3	ENST00000421665
TBC1D24	ENST00000293970
COPS3	ENST00000539941
TBC1D23	ENST00000394144
IZUMO1R	ENST00000440961
CYP4F3	ENST00000586182
SGK2	ENST00000423407
CHRNA6	ENST00000534622
PHOSPHO2-KLHL23	ENST00000272797
CNOT2	ENST00000418359
CMTM2	ENST00000379486
FPGT	ENST00000370898
RPL17-C18orf32	ENST00000584895
GBF1	ENST00000369983
ARHGAP23	ENST00000431231
NCR2	ENST00000373086
TGIF2-C20orf24	ENST00000558530
PACSIN1	ENST00000538621
PMF1-BGLAP	ENST00000368276
TMEM56-RWDD3	ENST00000604534
HOXD8	ENST00000313173
ST20-MTHFS	ENST00000479961
PTPRN	ENST00000409251
OTX1	ENST00000366671
POC1B-GALNT4	ENST00000548729
ILDR1	ENST00000344209
KLRC4-KLRK1	ENST00000240618
NEDD8-MDP1	ENST00000534348
SBK3	ENST00000420723
SNX10	ENST00000338523
BCL2L2-PABPN1	ENST00000553781
EBLN1	ENST00000422359
RPL36A-HNRNPH2	ENST00000316594
RPL36A-HNRNPH2	ENST00000602060
BMP2	ENST00000378827
CFAP46	ENST00000368586
BMP3	ENST00000282701
SAFB	ENST00000292123
CNTNAP3B	ENST00000377564
DAAM2	ENST00000274867
GORASP2	ENST00000234160
C7orf76	ENST00000356686
CORO7-PAM16	ENST00000572467
FAM161A	ENST00000404929
BMP4	ENST00000245451
NR4A1	ENST00000360284
ASB2	ENST00000555019
NCR3LG1	ENST00000338965
RPS10-NUDT3	ENST00000605528
ZNF816-ZNF321P	ENST00000549216
CRHR2	ENST00000348438
HSPE1-MOB4	ENST00000604458
CKLF-CMTM1	ENST00000527729
MIA	ENST00000594436
CHURC1-FNTB	ENST00000542227
WBSCR22	ENST00000423497
BMPR1B	ENST00000515059
MTA1	ENST00000331320
NDUFC2-KCTD14	ENST00000353172
BMPR2	ENST00000374580
COMMD3-BMI1	ENST00000602390
MINOS1-NBL1	ENST00000548815
SPHK2	ENST00000245222
C8orf44-SGK3	ENST00000519289
ZHX1-C8orf76	ENST00000357082
TMEM235	ENST00000374946
ZNF664-FAM101A	ENST00000546355
BIVM-ERCC5	ENST00000602836
CDRT4	ENST00000312177
TVP23C-CDRT4	ENST00000522212
FLT3LG	ENST00000596435
RBAK-RBAKDN	ENST00000396904
ZNF587B	ENST00000442832
TNFAIP8L2-SCNM1	ENST00000602841
URGCP-MRPS24	ENST00000603700
ISY1-RAB43	ENST00000418265
SLC19A1	ENST00000380010
RNF223	ENST00000453464
TP53TG3C	ENST00000561509
DEFB4B	ENST00000318157
PRSS46	ENST00000463091
KRBOX1	ENST00000383748
IGSF23	ENST00000402988
PPP5D1	ENST00000602017
LIMS4	ENST00000413601
KLF9	ENST00000377126
CAPZB	ENST00000375142
TRIM49B	ENST00000332682
TRIM49D1	ENST00000420869
TRIM64C	ENST00000530230
PLA2G4E	ENST00000399518
ABHD12B	ENST00000337334
GTF3C3	ENST00000409364
RAB11A	ENST00000261890
SMIM18	ENST00000517349
SLC35F4	ENST00000556826
DNAH8	ENST00000327475
PLA1A	ENST00000495992
PPP2R2C	ENST00000506140
BTF3	ENST00000335895
CNTFR	ENST00000378980
SHISA8	ENST00000457093
POU2F2	ENST00000389341
CLASP2	ENST00000480013
CXADR	ENST00000400166
BUB1B	ENST00000287598
C1QBP	ENST00000225698
CA6	ENST00000377443
CA9	ENST00000378357
CA11	ENST00000084798
CA12	ENST00000178638
CALU	ENST00000249364
PPFIA2	ENST00000550584
CAMK2D	ENST00000394526
CASP4	ENST00000444739
CASP6	ENST00000265164
CASP8	ENST00000264275
CASP9	ENST00000546424
CASQ1	ENST00000368079
CASQ2	ENST00000261448
CAV2	ENST00000222693
SERPINH1	ENST00000358171
CBR3	ENST00000290354
CCNA2	ENST00000274026
CCNE1	ENST00000262643
CCNH	ENST00000256897
CCNT1	ENST00000261900
CD27	ENST00000266557
PITRM1	ENST00000380989
PDE7A	ENST00000401827
USP17L25	ENST00000509271
USP17L24	ENST00000504481
USP17L26	ENST00000509660
USP17L5	ENST00000507227
USP17L27	ENST00000515574
USP17L28	ENST00000504543
USP17L29	ENST00000511681
VNN2	ENST00000525289
ODF2	ENST00000351030
RHOBTB1	ENST00000337910
MAGED4B	ENST00000431659
FBXO32	ENST00000443022
ZNF345	ENST00000420450
C16orf97	ENST00000562818
ZSWIM8	ENST00000605216
GDA	ENST00000358399
C1orf234	ENST00000566855
FNDC10	ENST00000422725
C8orf87	ENST00000521906
C20orf78	ENST00000278779
TTC34	ENST00000401095
AHCYL1	ENST00000369799
ZNF729	ENST00000357491
ENO4	ENST00000341276
LOC100129924	ENST00000421630
FLJ45513	ENST00000503603
SNAP91	ENST00000369694
ANKRD6	ENST00000339746
C2orf91	ENST00000378711
C4B_2	ENST00000435500
LOC100129216	ENST00000334879
ELP2	ENST00000442325
AKAP1	ENST00000571629
CT47A12	ENST00000416816
MAK	ENST00000474039
TNFRSF8	ENST00000263932
PROX2	ENST00000556489
E2F3	ENST00000535432
PLK5	ENST00000454744
PIM1	ENST00000373509
CCER2	ENST00000571838
MS4A4A	ENST00000532114
STK36	ENST00000392105
CLCN3	ENST00000360642
UBE2Q2L	ENST00000558195
C17orf112	ENST00000441889
FXYD6-FXYD2	ENST00000532984
RAB6A	ENST00000541588
TSPY8	ENST00000287721
TP53TG3D	ENST00000398664
RGL2	ENST00000497454
RABGAP1L	ENST00000489615
GNG2	ENST00000556752
FAM213A	ENST00000372187
FAM213A	ENST00000372181
TOB1	ENST00000268957
TPD52L2	ENST00000346249
HLA-DRB1	ENST00000399450
HLA-DRB1	ENST00000328980
TNFSF8	ENST00000223795
ZNF726	ENST00000594466
C7orf55-LUC7L2	ENST00000541515
POU2F3	ENST00000260264
ANKRD18B	ENST00000290943
KRTDAP	ENST00000484218
TXN	ENST00000374515
PPP1CC	ENST00000340766
SIGLEC6	ENST00000425629
ENTPD3	ENST00000301825
ENTPD5	ENST00000334696
CD40	ENST00000372285
CD68	ENST00000250092
SP1	ENST00000327443
RCAN2	ENST00000306764
RCAN3	ENST00000436717
CD70	ENST00000245903
PAPOLA	ENST00000557320
RAB5B	ENST00000553116
USP15	ENST00000280377
LSM4	ENST00000252816
GEMIN5	ENST00000285873
NT5C	ENST00000578407
TNIP1	ENST00000389378
TMEM249	ENST00000398633
C14orf132	ENST00000555004
RDH11	ENST00000381346
PP2D1	ENST00000389050
CDC5L	ENST00000371477
TBPL1	ENST00000237264
SMIM22	ENST00000589721
ADM2	ENST00000395738
SPAG6	ENST00000538630
CDC6	ENST00000209728
CDC20	ENST00000310955
MYH10	ENST00000360416
NOXA1	ENST00000341349
RNF213	ENST00000582970
FSBP	ENST00000481490
ARMCX4	ENST00000423738
ARAF	ENST00000377045
ADGRE1	ENST00000381404
NARR	ENST00000395245
ETS2	ENST00000360214
PTK6	ENST00000542869
CCR9	ENST00000357632
SAMSN1	ENST00000285670
RHBG	ENST00000255013
GUCY1A2	ENST00000282249
STON2	ENST00000555447
THEGL	ENST00000512175
MAN2C1	ENST00000565683
TUBGCP2	ENST00000368563
BRSK2	ENST00000308219
CSNK2A3	ENST00000528848
USP3	ENST00000540797
GABRR1	ENST00000435811
DNAAF3	ENST00000527223
CCT4	ENST00000544079
SMG6	ENST00000354901
USP17L10	ENST00000417945
USP17L12	ENST00000415041
USP17L11	ENST00000457736
USP17L13	ENST00000429667
